name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
gauguin,cocktail classics,2 oz,light rum,1 oz,passion fruit syrup,1 oz,lemon juice,1 oz,lime juice,,,,,combine ingredients with a cup of crushed ice in blender and blend at low speed. serve in old-fashioned glass. top with a cherry.,old-fashioned glass,6 to 8 ounces
fort lauderdale,cocktail classics,1 1/2 oz,light rum,1/2 oz,sweet vermouth,1/4 oz,juice of orange,1/4 oz,juice of a lime,,,,,shake with ice and strain into old-fashioned glass over ice cubes. add a slice of orange.,old-fashioned glass,6 to 8 ounces
apple pie,cordials and liqueurs,3 oz,apple schnapps,1 oz,cinnamon schnapps,,apple slice,,,,,,,pour into ice-filled old-fashioned glass. garnish with apple and top with cinnamon.,old-fashioned glass,6 to 8 ounces
cuban cocktail no. 1,cocktail classics,1/2 oz,juice of a lime,1/2 oz,powdered sugar,2 oz,light rum,,,,,,,shake with ice and  strain into cocktail glass.,cocktail glass,6 or more ounces
cool carlos,cocktail classics,1 1/2 oz,dark rum,2 oz,cranberry juice,2 oz,pineapple juice,1 oz,orange curacao,1 oz,sour mix,,,"mix all ingredients except curacao with ice, shake well. pour into collins glass and float curacao on top. garnish with pineapple and orange slices, and a cherry.",collins glass,14 to 16 ounces
john collins,whiskies,2 oz,bourbon whiskey,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,soda water,1 oz,"orange and lemon wheels, maraschino cherry",,,"shake first three ingredients with ice and strain into collins glass. add ice, fill with soda water, and stir. garnish with orange, lemon, and cherry. serve with straws.",collins glass,14 to 16 ounces
cherry rum,cocktail classics,1 1/4 oz,light rum,1 1/2 oz,cherry-flavored brandy,1 oz,light cream,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
casa blanca,cocktail classics,2 oz,light rum,1 1/2 oz,lime juice,1 1/2 oz,triple sec,1 1/2 oz,maraschino,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
caribbean champagne,cocktail classics,1/2 oz,light rum,1/2 oz,creme de banana,,chilled champagne,,,,,,,pour rum and banana liqueur into champagne flute. fill with champagne and stir lightly. add a slice of banana.,champagne flute,6 to 8 ounces
amber amour,cordials and liqueurs,1 1/2 oz,amaretto,1/4 oz,fresh lemon juice,1/4 oz,simple syrup,,soda water,,,,,"pour amaretto, lemon juice, and syrup into ice-filled collins glass. top with soda water and stir. garnish with cherry.",collins glass,14 to 16 ounces
the joe lewis,whiskies,1 1/2 oz,scotch whiskey,1 oz,fresh carrot juice,3/4 oz,tawny port,1/2 oz,fresh lemon juice,1 oz,agave nectar,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
bacardi cocktail,cocktail classics,1 1/2 oz,bacardi rum,1/2 oz,juice of a lime,1/2 oz,grenadine,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
apple pie no. 1,cocktail classics,3/4 oz,light rum,3/4 oz,sweet vermouth,1 oz,apple brandy,1/2 oz,grenadine,1 oz,lemon juice,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
yolanda,cocktail classics,1/2 oz,brandy,1/2 oz,gin,1/2 oz,anisette,1 oz,sweet vermouth,1 oz,grenadine,,,shake with ice and strain into cocktail glass. add a twist of orange peel.,cocktail glass,6 or more ounces
yellow rattler,cocktail classics,1 oz,gin,1 oz,orange juice,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,shake with ice and strain into cocktail glass. add a cocktail onion.,cocktail glass,6 or more ounces
why not?,cocktail classics,1 oz,gin,1 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,lemon juice,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
amaretto stinger,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,white creme de menthe,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
what the hell,cocktail classics,1 oz,gin,1 oz,dry vermouth,1 oz,apricot flavored brandy,1 oz,lemon juice,,,,,stir in old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
webster cocktail,cocktail classics,1/2 oz,juice of a lime,1 1/2 oz,apricot flavored brandy,1/2 oz,dry vermouth,1 oz,gin,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
union jack cocktail,cocktail classics,3/4 oz,sloe gin,1 1/2 oz,gin,1/2 oz,grenadine,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
jocose julep,whiskies,2 1/2 oz,bourbon whiskey,1/2 oz,green creme de menthe,1 oz,fresh lime juice,1/2 oz,simple syrup,5 oz,fresh mint leaves,,soda water,combine first five ingredients in blender without ice until smooth. pour into ice-filled collins glass. fill with soda water and stir. garnish with mint sprig.,collins glass,14 to 16 ounces
trinity cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
three stripes cocktail,cocktail classics,1 oz,gin,1/2 oz,dry vermouth,1 oz,orange juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
tanq-a-rita,cocktail classics,1 1/2 oz,tanqueray gin,3 oz,margarita mix,1 oz,triple sec,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
amaretto sour,cordials and liqueurs,1 1/2 oz,amaretto,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1,orange half-wheel,,,,,shake with ice and strain into chilled sour glass. garnish with orange.,cordial or pony glass,2 to 3 ounces
tailspin cocktail,cocktail classics,3/4 oz,gin,3/4 oz,sweet vermouth,3/4 oz,green chartreuse,1 oz,orange bitters,,,,,stir with ice and strain into cocktail glass. add a twist of lemon peel and a cherry or olive.,cocktail glass,6 or more ounces
sweet patootie cocktail,cocktail classics,1 oz,gin,1/2 oz,triple sec,1 oz,orange juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
sunshine cocktail,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,gin,1 oz,bitters,,,,,,,stir with ice and strain into cocktail glass. add a twist of orange peel.,cocktail glass,6 or more ounces
spring feeling cocktail,cocktail classics,1 oz,lemon juice,1/2 oz,green chartreuse,1 oz,gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
sphinx cocktail,cocktail classics,1 1/2 oz,gin,1 1/2 oz,sweet vermouth,1 1/2 oz,dry vermouth,,,,,,,stir with ice and strain into cocktail glass. serve with a slice of lemon.,cocktail glass,6 or more ounces
jitterbug sour,whiskies,2 oz,straight rye whiskey,1/2 oz,benedictine,3/4 oz,fresh lemon juice,1/2 oz,honey syrup,1 oz,egg white,1 dash,angostura bitters,shake first five ingredients with ice and strain into chilled cocktail glass. add bitters and lemon twist.,cocktail glass,6 or more ounces
southern gin cocktail,cocktail classics,2 oz,gin,2 oz,orange bitters,1/2 oz,triple sec,,,,,,,stir with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
society cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,1/4 oz,grenadine,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
snyder,cocktail classics,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,triple sec,,,,,,,shake with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
smiler cocktail,cocktail classics,1/2 oz,sweet vermouth,1/2 oz,dry vermouth,1 oz,gin,1 oz,bitters,1/4 oz,orange juice,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
smile cocktail,cocktail classics,1 oz,grenadine,1 oz,gin,1/2 oz,lemon juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
amaretto rose,cordials and liqueurs,1 1/2 oz,amaretto,1/2 oz,fresh lemon juice,1/2 oz,simple syrup,,soda water,,,,,pour first three ingredients into ice-filled collins glass and fill with soda water. stir.,collins glass,14 to 16 ounces
sand-martin cocktail,cocktail classics,1 oz,green chartreuse,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
irish whiskey highball,whiskies,2 oz,irish whiskey,1 oz,ginger ale or soda water,1 oz,lemon twist (optional),,,,,,,"pour whiskey into ice-filled highball glass. fill with ginger ale or soda water. add lemon twist, if desired, and stir.",highball glass,7 to 10 ounces
japanese,brandy,2 oz,brandy,1/2 oz,orgeat or almond syrup,2 oz,angostura bitters,,lemon twist,,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,cocktail glass,6 or more ounces
roselyn cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,1/2 oz,grenadine,,,,,,,stir with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
resolute cocktail,cocktail classics,1/4 oz,juice of a lemon,1/2 oz,apricot flavored brandy,1 oz,gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
racquet club cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,1 oz,orange bitters,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
amaretto and cream,cordials and liqueurs,1 1/2 oz,amaretto,1 1/2 oz,half-and-half,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
pollyanna cocktai,cocktail classics,3 oz,orange,3 oz,pineapple,2 oz,gin,1/2 oz,sweet vermouth,1/2 oz,grenadine,,,muddle ingredients. shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
plaza cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,shake with ice and strain into cocktail glass. add a strip of pineapple.,cocktail glass,6 or more ounces
irish whiskey cocktail,whiskies,2 oz,irish whiskey,1/2 oz,triple sec,1/2 oz,anisette,1/4 oz,maraschino liqueur,1 oz,angostura bitters,1,green olive,stir with ice and strain into chilled cocktail glass. garnish with olive.,cocktail glass,6 or more ounces
absinthe special cocktail,cordials and liqueurs,1 1/2 oz,absinthe,1/4 oz,simple syrup,1 oz,orange bitters,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6 or more ounces
nineteenth hole,cocktail classics,1 1/2 oz,gin,1 oz,dry vermouth,1 oz,sweet vermouth,1 oz,bitters,,,,,stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. garnish with an olive.,cocktail glass,6 or more ounces
montreal club bouncer,cocktail classics,1 1/2 oz,gin,1/2 oz,anisette,,,,,,,,,pour into old-fashioned glass over ice cubes. stir.,old-fashioned glass,6 to 8 ounces
monte carlo imperial highball,cocktail classics,2 oz,gin,1/2 oz,white creme de menthe,1/4 oz,juice of a lemon,,chilled champagne,,,,,shake with ice and strain into highball glass over ice cubes. fill glass with champagne and stir.,highball glass,7 to 10 ounces
irish shillelagh,whiskies,1 1/2 oz,irish whiskey,1 oz,light rum,1/2 oz,sloe gin,1 oz,fresh lemon juice,1/2 oz,simple syrup,1,"fresh raspberries and strawberries, 2 peach slices, maraschino cherry","shake with ice and strain into ice-filled irish coffee glass. garnish with berries, peach slices, and cherry.",irish coffee glass,8 to 9 ounces
melon cocktail,cocktail classics,2 oz,gin,1/4 oz,lemon juice,1/4 oz,maraschino,,,,,,,shake with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
martini (medium),cocktail classics,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,,,,,,,follow directions for martini preparation.,,
martini (dry) (5-to-1),cocktail classics,1 2/3 oz,gin,1/3 oz,dry vermouth,,,,,,,,,follow directions for martini preparation.,,
mamie's sister,cocktail classics,1 oz,juice of a lime,2 oz,gin,,ginger ale,,,,,,,"put the juice of one lime and a lime twist into collins glass, and add gin. fill glass with ginger ale and ice. stir.",collins glass,14 to 16 ounces
irish rickey,whiskies,1 1/2 oz,irish whiskey,1/2 oz,fresh lime juice,1 oz,soda water,1 oz,lime wedge,,,,,pour whiskey and lime juice into ice-filled highball glass. fill with soda water and stir. garnish with lime.,highball glass,7 to 10 ounces
maiden's prayer,cocktail classics,1 1/2 oz,gin,1/2 oz,triple sec,1 oz,lemon juice,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
lone tree cocktail,cocktail classics,3/4 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
london buck,cocktail classics,2 oz,gin,1/2 oz,juice of a lemon,,ginger ale,,,,,,,pour gin and lemon juice over ice cubes in highball glass. fill with ginger ale and stir.,highball glass,7 to 10 ounces
leap frog highball,cocktail classics,1/2 oz,juice of a lemon,2 oz,gin,,ginger ale,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7 to 10 ounces
incider cocktail,whiskies,1 1/2 oz,rye or bourbon whiskey,4 oz,apple cider,1 oz,apple slice,,,,,,,stir whiskey and apple cider in ice-filled old-fashioned glass. garnish with apple.,old-fashioned glass,6 to 8 ounces
kup's indispensable cocktail,cocktail classics,1/2 oz,light vermouth,1/2 oz,dry vermouth,1 1/2 oz,gin,1 oz,bitters,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
knock-out cocktail,cocktail classics,1/2 oz,anisette,3/4 oz,gin,3/4 oz,dry vermouth,1 oz,creme de menthe (white),,,,,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
k. g. b. cocktail,cocktail classics,1/2 oz,kummel,1 1/2 oz,gin,1/4 oz,apricot flavored brandy,1/4 oz,lemon juice,,,,,shake with ice and strain into cocktail glass. add a twist of lemon peel.,cocktail glass,6 or more ounces
imperial fizz,whiskies,1 1/2 oz,bourbon or rye whiskey,1/2 oz,light rum,1 oz,fresh lemon juice,1/2 oz,simple syrup,1 oz,soda water,,,shake first four ingredients with ice and strain into ice-filled highball glass. fill with soda water and stir.,highball glass,7 to 10 ounces
jeyplak cocktail,cocktail classics,1 1/2 oz,gin,3/4 oz,sweet vermouth,1/4 oz,anisette,,,,,,,shake with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
h. p. w. cocktail,cocktail classics,1 1/2 oz,dry vermouth,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,stir with ice and strain into cocktail glass. add a twist of orange peel.,cocktail glass,6 or more ounces
i.a.p.,whiskies,2 oz,tennessee whiskey,1/4 oz,fernet-branca,3 oz,cola,,,,,,,build in ice-filled collins glass.,collins glass,14 to 16 ounces
hotel plaza cocktail,cocktail classics,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,,,,,,,stir with ice and strain into cocktail glass. decorate with a slice of pineapple.,cocktail glass,6 or more ounces
hoffman house cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,,,,,,,,,stir with ice and strain into cocktail glass. serve with an olive.,cocktail glass,6 or more ounces
hawaiin cocktail,cocktail classics,2 oz,gin,1 oz,pineapple juice,1/2 oz,triple sec,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
white russian,vodka,2 oz,vodka,1 oz,coffee liqueur,,milk or half-and-half,,,,,,,pour vodka and coffee liqueur into ice-filled old-fashioned glass. fill with milk or half-and-half.,old-fashioned glass,6 to 8 ounces
greyhound,cocktail classics,1 1/2 oz,gin,5 oz,grapefruit juice,,,,,,,,,pour into highball glass over ice cubes. stir well.,highball glass,7 to 10 ounces
green devil,cocktail classics,1 1/2 oz,gin,1 1/2 oz,green creme de menthe,1 oz,lime juice,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes. decorate with mint leaves.,old-fashioned glass,6 to 8 ounces
greenback,cocktail classics,1 1/2 oz,gin,1 oz,green creme de menthe,1 oz,lemon juice,,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6 to 8 ounces
grapefruit cocktail,cocktail classics,1 oz,grapefruit juice,1 oz,gin,1 oz,maraschino,,,,,,,shake with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
hotel d'alsace,whiskies,1 oz,fresh rosemary sprig,2 oz,irish whiskey,1/2 oz,benedictine,1/2 oz,triple sec,,,,,muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. add remaining ingredients. stir with ice and strain into ice-filled old-fashioned glass. garnish with remaining half-sprig of rosemary.,old-fashioned glass,6 to 8 ounces
jamaica granito,brandy,1 1/2 oz,brandy,1 oz,triple sec,1 oz,lemon or orange sherbet,,,,,,,add first three ingredients to collins glass. add soda water. top with nutmeg.,collins glass,14 to 16 ounces
gin sling,cocktail classics,1 oz,powdered sugar,1 oz,water,1/2 oz,juice of a lemon,2 oz,gin,,,,,dissolve sugar in water and lemon juice. add gin. pour into old-fashioned glass over ice cubes and stir. add a twist of orange peel.,old-fashioned glass,6 to 8 ounces
gin milk punch,cocktail classics,1 oz,powdered sugar,2 oz,gin,1 oz,milk,,,,,,,"shake with ice, strain into collins glass, and sprinkle nutmeg on top.",collins glass,14 to 16 ounces
horse's neck (with a kick),whiskies,1 oz,wide spiral of lemon zest,2 oz,bourbon whiskey,1 oz,ginger ale,,,,,,,insert the lemon spiral in collins glass with one end hanging over the rim. fill glass with ice cubes. add whiskey. fill with ginger ale and stir well.,collins glass,14 to 16 ounces
gin and it,cocktail classics,2 oz,gin,1 oz,sweet vermouth,,,,,,,,,stir ingredients in cocktail glass. (no ice is used in this drink.),cocktail glass,6 or more ounces
gin cocktail,cocktail classics,2 oz,gin,2 oz,bitters,,,,,,,,,stir with ice and strain into cocktail glass. serve with a twist of lemon peel.,cocktail glass,6 or more ounces
west side,vodka,1 1/2 oz,lemon-flavored vodka,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,6,fresh mint leaves,,,,,shake first four ingredients with ice and double-strain into chilled cocktail glass. top with a splash of soda water.,cocktail glass,6 or more ounces
gimlet,cocktail classics,1 oz,lime juice,1 oz,powdered sugar,1 1/2 oz,gin,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6 or more ounces
free silver,cocktail classics,1/4 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,gin,1/2 oz,dark rum,1 oz,milk,,club soda,shake with ice and strain into collins glass over ice cubes. fill with club soda.,collins glass,14 to 16 ounces
frankenjack cocktail,cocktail classics,1 oz,gin,3/4 oz,dry vermouth,1/2 oz,apricot flavored brandy,1 oz,triple sec,1/2 oz,juice of a lime,1 1/2 oz,gin & ginger ale,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6 or more ounces
